sample	morpho_id	mitoch_seq	mitoch_id	radseq_seq	radseq_id	status	host	site	dep.	long	lat	alt	dd	mm	yyyy	origine
19.0242a	NA	TRUE	fuscus	TRUE	fuscus	larve indet	Pheidole pallidula	La Tour d'Aigues	Vaucluse	43.7114	5.54	240	30	6	2017	collection
19.0243a	NA	FALSE_W	NA	TRUE	myrmecophilus	larve indet	indet.	La Tour d'Aigues	Vaucluse	43.7114	5.54	240	30	6	2017	collection
19.0244a	NA	TRUE	fuscus	TRUE	fuscus	larve indet	indet.	La Tour d'Aigues	Vaucluse	43.7114	5.54	240	30	6	2017	collection
19.0245a	NA	FALSE	NA	TRUE	fuscus	larve indet	Lasius niger	La Roque-sur-Pernes	Vaucluse	43.965	5.0895	-	19	5	2016	collection
19.0246a	NA	TRUE	fuscus	TRUE	fuscus	larve indet	Lasius niger	La Roque-sur-Pernes	Vaucluse	43.965	5.0895	-	19	5	2016	collection
19.0247a	NA	FALSE_W	NA	FILTERED_OUT	ambiguous	larve indet	Pheidole pallidula	Beaurecueil	Bouches-du-Rhones	43.528	5.528	-	28	5	2016	collection
19.0248a	NA	FALSE	NA	TRUE	ambiguous	larve male	Lasius niger	Beaurecueil	Bouches-du-Rhones	43.528	5.528	-	28	5	2016	collection
19.0249a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Lioux	Vaucluse	43.946274	5.280565	320	9	5	2016	collection
19.0250a	NA	FALSE_W	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Lioux	Vaucluse	43.941206	5.277179	280	8	5	2016	collection
19.0251a	NA	FALSE	NA	TRUE	fuscus	larve femelle	indet.	Valderoure	Alpes-Maritimes	43.8043	6.7148	1200	10	8	2016	collection
19.0252a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Lansargues	Herault	43.611944	4.093056	2	21	4	2013	collection
19.0253a	NA	FALSE	NA	TRUE	fuscus	larve femelle	Lasius niger	Lioux	Vaucluse	43.953852	5.300541	375	13	5	2016	collection
19.0254a	NA	TRUE	fuscus	TRUE	fuscus	larve male	Lasius niger	Lioux	Vaucluse	43.953852	5.300541	375	13	5	2016	collection
19.0255a	NA	TRUE	fuscus	TRUE	fuscus	larve femelle	Lasius niger	Cassis	Bouches-du-Rhones	43.225699	5.537635	100	12	5	2016	collection
